Year,Singapore_Thickness,London_Thickness,Gap,Gap_Percentage,SG_as_Pct_of_LD,SG_connectivity,LD_connectivity,SG_institutional,LD_institutional,SG_density,LD_density
2000,60.8467065017453,70.07242692351329,9.225720421767988,13.165978155485055,86.83402184451494,34.075833333333335,52.795,81.33,80.8,73.42186584205984,83.17213461756643
2012,71.58760699646274,82.07302269501935,10.485415698556608,12.775715276772573,87.22428472322743,55.376000000000005,82.30933333333333,83.51,79.64,80.16603498231363,86.4664468084301
2016,75.19242781422165,81.3167076667928,6.124279852571149,7.531391799169107,92.46860820083089,61.181428571428576,81.14785714285713,85.53999999999999,79.57000000000001,82.51928192825103,85.14782404824963
2018,73.53757725112821,80.13223705226014,6.594659801131925,8.22972132530265,91.77027867469735,55.88615384615384,78.87692307692308,86.51,79.38,82.89557856333337,84.1473391074545
2020,73.13205655314292,81.62762484161561,8.495568288472697,10.40771222359696,89.59228777640304,54.87407407407407,83.95851851851852,86.37,78.08,83.17213461756643,84.06108717104101
